,Question,Answer
1243,Is Taipei in a valley?,Taipei is in the valleys of the Keelung and Xindian Rivers
1244,Is Taipei in a valley?,Yes
1245,Was Taipei founded in the 18th century?,Yes
1246,Was Taipei founded in the 18th century?,Yes
1247,Is the National Palace Museum in Taipei?,Yes
1248,Is the National Palace Museum in Taipei?,Yes
1249,What is along the city's western border?,The Danshui River borders Taipei to the west.
1250,What is along the city's western border?,Taipei has the Danshui River along its western border.
1251,What is Taipei 101?,Taipei 101 is a 101-floor landmark skyscraper.
1252,What is Taipei 101?,Taipei 101 is a 101-floor landmark skyscraper.
1253,What are some annual festivals in Taipei?,"The Lantern Festival, Tomb-Sweeping Day, Dragon Boat Festival, and the Mid-Autumn Festival"
1254,What are some annual festivals in Taipei?,"Some annual festivals include Tomb-Sweping Day, the Dragon Boat Festival, the Ghost Festival, and the Mid-Autumn Festival."
1255,When is the Pacific typhoon season?,Between June and October.
1256,When is the Pacific typhoon season?,It's between June and October.
1257,Who sets up shrines?,Many homes and business set up shrines.
1258,Who sets up shrines?,Many homes and businesses would set up shrines.
1259,What does Taipei produce?,Taipei produces high technology and hi-tech components
1260,What does Taipei produce?,"Taipei produces textiles, apparel, electronics, machinery, printed materials, precision equipment, food, and beverages."
1261,Is the trumpet the musical instrument with the highest register in the brass family?,Yes
1262,Is the trumpet the musical instrument with the highest register in the brass family?,Yes
1263,Is a trumpet played by blowing air through closed lips?,Yes
1264,Is a trumpet played by blowing air through closed lips?,yes
1265,Is the most common type of trumpet the B trumpet?,Yes
1266,Is the most common type of trumpet the B trumpet?,yes
1267,What is the earliest date of the trumpet?,1500 BC
1268,What is the earliest date of the trumpet?,around 1500 BC
1269,What is a trumpet constructed of?,brass tubing
1270,What is a trumpet constructed of?,brass tubing bent twice into an oblong shape
1271,What are the smallest trumpets referred to as?,Piccolo trumpets
1272,What are the smallest trumpets referred to as?,piccolo trumpets
1273,"Why do trumpets have a bright, loud sound?",The trumpet and trombone share a roughly cylindrical bore.
1274,"Why do trumpets have a bright, loud sound?",Due to the cylindrical bore
1275,Why does the cornet have a slightly mellower tone than the trumpet?,The cornet and flugelhorn have conical bores
1276,Why does the cornet have a slightly mellower tone than the trumpet?,because it has conical bores
1277,What makes a trumpet fully chromatic?,able to play all twelve pitches of Western music
1278,Were trumpet players heavily guarded?,yes
1279,Were trumpet players heavily guarded?,yes
1280,Are pocket trumpets compact B trumpets?,yes
1281,Are pocket trumpets compact B trumpets?,yes
1282,Was Dizzy Gillespie a famous trumpeter in 1998?,no
1283,What shape is a trumpet bent into?,oblong
1284,What shape is a trumpet bent into?,an oblong shape
1285,What trumpet was the first to be allowed in the Christian Church?,slide trumpets
1286,What trumpet was the first to be allowed in the Christian Church?,Slide trumpets
1287,The trumpet can be confused with what close relative?,the cornet
1288,The trumpet can be confused with what close relative?,the coronet
1289,What can be augmented with a fourth valve?,the flugelhorn
1290,What can be augmented with a fourth valve?,flugelhorn
1291,What was Maynard Ferguson noted for being able to play accurately?,yes
1292,What was Maynard Ferguson noted for being able to play accurately?,yes
1293,What was built to play in both B and A keys?,piccolo trumpets
1294,What was built to play in both B and A keys?,piccolo trumpets
1295,What happened in 1894?,"Jean-Baptiste Arban published ""Complete Conservatory Method for Trumpet."""
1296,What happened in nineteen fifty seven?,Maynard Ferguson formed his own band.
1297,Is the Breeze Eazy' ' method sometimes used to teach younger students?,Yes.
1298,Do many players use a smaller mouthpiece on the piccolo trumpet?,Yes
1299,Is the trumpet constructed of brass tubing bent twice into an oblong shape?,yes
1300,Give an example of the most influential musicians of the 20th century. ,Miles Davis
1301,Were Slide trumpets the first trumpets allowed in the Christian church?,Slide trumpets were the first trumpets allowed in the Christian church. 
1302,"Are they constructed of brass tubing bent twice into an oblong shape, and are played by blowing air through closed lips, producing a ``buzzing'' sound which starts a standing wave vibration in the air column inside the trumpet?",Yes
1303,Are there several types of trumpet?,yes
1304,Was the Ottoman script replaced with a variant of the Latin alphabet?,Yes.
1305,Was the Ottoman script replaced with a variant of the Latin alphabet?,Yes
1306,Is there a definite article in Turkish language?,No.
1307,Is there a definite article in Turkish language?,No
1308,Is it possible to alter the word order to stress the importance of a certain phrase?,Yes.
1309,Is it possible to alter the word order to stress the importance of a certain phrase?,Yes
1310,What is the official language of Turkey?,Turkish.
1311,What is the official language of Turkey?,Turkish is the official language of Turkey.
1312,When was the Turkish Language Association founded?,In 1928.
1313,When was the Turkish Language Association founded?,The Turkish Language Association was founded in 1932.
1314,What are the most significant foreign contributors to Turkish vocabulary?,"Among the most significant foreign contributors to Turkish vocabulary are Arabic, French, Persian, Italian, English, and Greek. "
1315,Who were the Orkhon inscriptions built for?,For the prince Kul Tigin and his brother Emperor Bilge Khan.
1316,Who were the Orkhon inscriptions built for?,The Orkhon inscriptions were erected in honour of the prince Kul Tigin and his brother Emperor Bilge Khan.
1317,What was one of the results of the introduction of the new Turkish alphabet?,A dramatic increase in literacy from Third World levels.
1318,What was one of the results of the introduction of the new Turkish alphabet?,There was a dramatic increase in literacy from its original Third World levels.
1319,"Why does Lewis use ""absolute case"" instead of ""nominative""?",Because it is also used for the indefinite accusative.
1320,"Why does Lewis use ""absolute case"" instead of ""nominative""?",Because it is also used for the indefinite accusative.
1321,How many people speak Turkish worldwide?,There are roughly another 10 million native speakers worldwide.
1323,"In Turkish, which syllable usually has the stress?",Stress is usually on the last syllable
1325,Is the spelling of Turkish phonetic?,"yes, Turkish now has an alphabet suited to the sounds of the language: the spelling is largely phonetic, with one letter corresponding to each phoneme."
1327,What percentage of the words in Turkish vocabulary have Turkish origins?,86% of the Turkish vocabulary have Turkish origins.
1329,After what event was the Turkish Language Association established?,"After the foundation of the Republic of Turkey and the script reform, the Turkish Language Association (TDK) was established in 1932."
1331,What exception to the rules of vowel harmony do compound words have?,"In compound words, the vowels need not harmonize between the constituent words of the compound."
1334,What are the patterns of vowel harmony?,Vowels are characterised by two features: front/back and rounded/unrounded.
1336,What are the ways to join groups of nouns?,"Two nouns, or groups of nouns, may be joined in either of two ways: definite or indefinite."
1338,Does Vietnamese have a comparatively large number of vowels?,Yes.
1339,Is Vietnamese the mother tongue of the Vietnamese people?,Yes
1340,Is Vietnamese the mother tongue of the Vietnamese people?,Yes.
1341,Is Vietnamese the official administrative language of Vietnam?,Yes
1342,Is Vietnamese the official administrative language of Vietnam?,Yes.
1343,Was Vietnamese influenced by Chinese?,Much vocabulary has been borrowed from Chinese.
1344,Was Vietnamese influenced by Chinese?,Yes.
1345,When did written Vietnamese become the official administrative language?,the 20th century
1346,When did written Vietnamese become the official administrative language?,Vietnamese became the official administrative language by the 20th century.
1347,Have consonant clusters been lost?,Yes
1348,Have consonant clusters been lost?,Yes.
1349,Is the Red River Delta traditionally poor?,"Not compared to Nghe An, Ha Tinh, or Quang Binh"
